id,examRound,year,questionNumber,session,subject,officialLarge,officialMedium,officialSmall,normalizedTheme,subTheme,importance,studyPoint,sourceUrl,sourceReliability,blueprintVersion,questionCountMode,memo
31-001,31,2023,1,共通,medical-overview,専門基礎科目,医療概論,チーム医療,medical-ethics,多職種連携チーム医療,,チーム医療で望ましいのは職種間の目的・情報共有。リーダー固定・業務不介入・患者排除は不適切,,indexed_official,2020,180,
31-002,31,2023,2,共通,medical-overview,専門基礎科目,医療概論,ターミナルケア,medical-ethics,人生最終段階の医療用語,,ターミナルケアは人生最終段階の医療。QOL=生活の質。バイオエシックス=生命倫理。ノーマライゼーション=社会統合,,indexed_official,2020,180,
31-003,31,2023,3,共通,medical-overview,専門基礎科目,医療概論,医療保険制度,health-policy,被用者保険の加入者数,,被用者保険で加入者最多は協会けんぽ（中小企業従業員）。組合管掌健保は大企業。共済組合は公務員。船員保険は少数,,indexed_official,2020,180,
31-004,31,2023,4,共通,medical-overview,専門基礎科目,医療概論,医師患者関係,medical-ethics,パターナリズムの定義,,パターナリズム=医師が親・患者が子のような保護的関係。セカンドオピニオン・工学モデル・契約モデルは別の関係性,,indexed_official,2020,180,
31-005,31,2023,5,共通,hygiene,専門基礎科目,衛生学・公衆衛生学,疾病予防の段階,health-policy,二次予防の分類,,二次予防=早期発見・早期治療（スクリーニング検査）。一次予防は発症予防（遺伝相談・感染経路対策）。三次予防はリハビリ,,indexed_official,2020,180,
31-006,31,2023,6,共通,hygiene,専門基礎科目,衛生学・公衆衛生学,上水道・水質基準,health-policy,上水道水質基準（大腸菌）,,上水道水質基準で「検出されないこと」と規定されているのは大腸菌のみ。水銀・ヒ素・トリハロメタンは基準値以下,,indexed_official,2020,180,
31-007,31,2023,7,共通,hygiene,専門基礎科目,衛生学・公衆衛生学,結核対策,infectious-disease,結核の早期発見方法,,結核早期発見目的は定期健康診断（胸部X線）。結核登録は把握・管理。定期予防接種はBCGで発症予防。家庭訪問は治療支援,,indexed_official,2020,180,
31-008,31,2023,8,共通,hygiene,専門基礎科目,衛生学・公衆衛生学,公的統計調査,health-policy,1日平均歩数の統計調査,,1日平均歩数を公表するのは国民健康・栄養調査。国勢調査は人口。人口動態調査は出生・死亡。国民生活基礎調査は有訴者率,,indexed_official,2020,180,
31-009,31,2023,9,共通,hygiene,専門基礎科目,衛生学・公衆衛生学,特定健康診査・特定保健指導,health-policy,特定健診の実施主体と対象,,特定健診の実施主体は医療保険者（正しい）。根拠法は高齢者医療確保法。対象は40〜74歳。がん検診ではない,,indexed_official,2020,180,
31-010,31,2023,10,共通,hygiene,専門基礎科目,衛生学・公衆衛生学,人口動態統計,epidemiology,人口動態統計の指標,,人口動態統計で示す指標は離婚件数（出生・死亡・婚姻・離婚・死産）。健康寿命・有訴者率・通院者数は国民生活基礎調査,,indexed_official,2020,180,
