id,examRound,year,questionNumber,session,subject,officialLarge,officialMedium,officialSmall,normalizedTheme,subTheme,importance,studyPoint,sourceUrl,sourceReliability,blueprintVersion,questionCountMode,memo
30-001,30,2022,1,共通,医療概論,専門基礎科目,医療概論,介護保険制度,social-security,介護保険の保険者,,介護保険の保険者は市町村・特別区。都道府県・国ではない。第1号被保険者（65歳以上）・第2号被保険者（40〜64歳）を覚える,,indexed_official,2020,180,
30-002,30,2022,2,共通,医療概論,専門基礎科目,医療概論,国民医療費,health-policy,国民医療費に含まれるもの,,国民医療費に含まれない費用：正常分娩費・健康診断費・予防接種費・差額ベッド代。保険給付費・公費医療費は含まれる,,indexed_official,2020,180,
30-003,30,2022,3,共通,医療概論,専門基礎科目,医療概論,医療保険制度,health-policy,被用者保険でないもの,,被用者保険（健康保険・共済組合・船員保険）に含まれないのは国民健康保険（自営業者・農業者等が対象）,,indexed_official,2020,180,
30-004,30,2022,4,共通,医療概論,専門基礎科目,医療概論,医師患者関係,medical-ethics,患者と医療従事者の関係,,インフォームドコンセントは患者の自律・自己決定権を尊重。パターナリズムは医師主導の父権的関係。相互参加モデルが現代の理想,,indexed_official,2020,180,
30-005,30,2022,5,共通,衛生学・公衆衛生学,専門基礎科目,衛生学・公衆衛生学,疾病予防,health-policy,ハイリスクアプローチの特徴,,ハイリスクアプローチは高リスク者を絞り込み集中介入。ポピュレーションアプローチは集団全体に働きかける。一次予防と二次予防の違いも整理する,,indexed_official,2020,180,
30-006,30,2022,6,共通,衛生学・公衆衛生学,専門基礎科目,衛生学・公衆衛生学,学校保健,school-health,中学・高校生の被患率が高い疾患,,学校保健統計調査で中学・高校生の被患率最高は裸眼視力1.0未満（近視）。次いでう歯。問題は「歯・口腔疾患」を問う場合もある,,indexed_official,2020,180,
30-007,30,2022,7,共通,衛生学・公衆衛生学,専門基礎科目,衛生学・公衆衛生学,疫学研究,epidemiology,横断調査で明らかになる疫学指標,,横断調査（クロスセクション研究）で測定できるのは有病率。罹患率はコホート研究（縦断研究）で測定。横断研究は因果関係の証明に弱い,,indexed_official,2020,180,
30-008,30,2022,8,共通,衛生学・公衆衛生学,専門基礎科目,衛生学・公衆衛生学,地域保健行政,health-policy,保健所の根拠法と業務,,保健所は地域保健法に基づき都道府県・政令指定都市等が設置。結核・精神保健・感染症対策・食品衛生を担う。市町村保健センターと区別,,indexed_official,2020,180,
30-009,30,2022,9,共通,衛生学・公衆衛生学,専門基礎科目,衛生学・公衆衛生学,生活習慣病,health-policy,運動により減少するもの,,定期的な運動で減少するもの：LDLコレステロール・中性脂肪・血圧・空腹時血糖。HDLコレステロールは増加（正常化）する,,indexed_official,2020,180,
30-010,30,2022,10,共通,衛生学・公衆衛生学,専門基礎科目,衛生学・公衆衛生学,産業保健,health-policy,産業衛生管理の作業管理,,作業管理＝労働者の作業姿勢・方法・保護具使用を管理し有害因子への曝露を低減。作業環境管理は換気等の環境改善,,indexed_official,2020,180,
30-011,30,2022,11,共通,関係法規,専門基礎科目,関係法規,あはき法,hari-kyu-law,施術者への指示と意見,,あはき法で施術者に業務指示ができるのは医師のみ。施術者団体が都道府県知事に意見を述べる規定はあるが、業務への指示は医師のみ,,indexed_official,2020,180,
30-012,30,2022,12,共通,関係法規,専門基礎科目,関係法規,あはき法,hari-kyu-law,施術所届出事項の変更,,施術所の届出事項：開設者・施術者氏名・施術所の名称・所在地・構造設備。構造設備の変更は届出要。開設者氏名変更も届出要,,indexed_official,2020,180,
30-013,30,2022,13,共通,関係法規,専門基礎科目,関係法規,あはき法,hari-kyu-law,施術所の広告規制,,施術所の広告可能事項：氏名・住所・電話番号・施術日時・施術料金・出張施術の旨。技術の優秀性・最高の治療等の誇大広告は禁止,,indexed_official,2020,180,
30-014,30,2022,14,共通,関係法規,専門基礎科目,関係法規,あはき法,hari-kyu-law,罰則規定の量刑,,あはき法の罰則：無免許業務（1年以下懲役または50万円以下罰金）が最も重い。虚偽報告は30万円以下罰金。量刑の重さの順を整理,,indexed_official,2020,180,
30-015,30,2022,15,共通,解剖学,専門基礎科目,解剖学,頸椎,musculoskeletal-system,頸椎の形態的特徴,,頸椎は7個。第1頸椎（環椎）に椎体なし。第2頸椎（軸椎）は歯突起をもつ。環軸関節は頭部回旋の主要関節。第6頸椎は椎体が大きい,,indexed_official,2020,180,
30-016,30,2022,16,共通,解剖学,専門基礎科目,解剖学,横隔膜,musculoskeletal-system,横隔膜の裂孔と通過構造,,大動脈裂孔（T12）：大動脈・胸管通過。食道裂孔（T10）：食道・迷走神経通過。腔静脈孔（T8）：下大静脈通過。数字は「大食下」で記憶,,indexed_official,2020,180,
30-017,30,2022,17,共通,解剖学,専門基礎科目,解剖学,上肢の筋,musculoskeletal-system,上肢の筋と作用の組合せ,,上腕二頭筋：前腕屈曲・回外。上腕筋：前腕屈曲のみ。腕橈骨筋：前腕屈曲・半回内外位。円回内筋：前腕回内のみ。作用の組合せを整理,,indexed_official,2020,180,
30-018,30,2022,18,共通,解剖学,専門基礎科目,解剖学,頸部動脈,circulatory-system,外頸動脈の枝,,外頸動脈8枝：上甲状腺・舌・顔面・後頭・上行咽頭・耳介後・顎・浅側頭動脈。内頸動脈は顎下部で外頸に隣接し眼・脳を栄養する,,indexed_official,2020,180,
30-019,30,2022,19,共通,解剖学,専門基礎科目,解剖学,静脈,circulatory-system,静脈の特徴,,静脈は薄壁・低圧・弁あり（四肢の静脈）。毛細血管には弁なし。血液は心臓方向へ流れる。門脈は腸管→肝臓への特殊な静脈系,,indexed_official,2020,180,
30-020,30,2022,20,共通,解剖学,専門基礎科目,解剖学,消化管,visceral-anatomy,食道の形態と特徴,,食道の3狭窄：食道入口部・大動脈弓交叉部・横隔膜貫通部。後縦隔内を走行。上部は横紋筋・下部は平滑筋。粘膜は重層扁平上皮,,indexed_official,2020,180,
30-021,30,2022,21,共通,解剖学,専門基礎科目,解剖学,消化腺,visceral-anatomy,膵臓の位置と機能,,膵臓は後腹膜臓器（腹膜外位）。頭部はC字状の十二指腸に囲まれる。外分泌（消化酵素）と内分泌（インスリン・グルカゴン）の両機能をもつ,,indexed_official,2020,180,
30-022,30,2022,22,共通,解剖学,専門基礎科目,解剖学,神経系,nervous-system,痛覚伝導路の構成,,温痛覚はAδ・C線維→脊髄後角→脊髄視床路（外側）→視床→大脳感覚野。深部感覚は後索（薄束・楔状束）→延髄→内側毛帯→視床,,indexed_official,2020,180,
30-023,30,2022,23,共通,解剖学,専門基礎科目,解剖学,皮膚,histology,皮膚の構造と機能,,皮膚は表皮・真皮・皮下組織の3層。表皮には基底層・有棘層・顆粒層・角質層（マルピーギ層）。ランゲルハンス細胞は抗原提示・メラノサイトは色素産生,,indexed_official,2020,180,
30-024,30,2022,24,共通,病理学,専門基礎科目,病理学,遺伝と病理,pathology,DNAの特徴,,DNAは二重らせん構造（A-T・G-C塩基対）。細胞核に主存在（ミトコンドリアにも少量）。S期にDNA複製。RNA→蛋白質の転写・翻訳を経る,,indexed_official,2020,180,
30-025,30,2022,25,共通,生理学,専門基礎科目,生理学,循環生理,cardiovascular-physiology,血管の特徴,,毛細血管は物質交換の場（壁が最薄）。細動脈は末梢抵抗が最大。静脈系は血液全体量の約70%を貯留する容量血管。大動脈は弾性型動脈,,indexed_official,2020,180,
30-026,30,2022,26,共通,生理学,専門基礎科目,生理学,消化吸収,metabolic-physiology,消化液と消化酵素の組合せ,,唾液腺→アミラーゼ。胃腺→ペプシン。膵臓→アミラーゼ・リパーゼ・トリプシン（膵液）。小腸→マルターゼ・スクラーゼ・ラクターゼ,,indexed_official,2020,180,
30-027,30,2022,27,共通,生理学,専門基礎科目,生理学,体温調節,metabolic-physiology,体温の調節機構,,体温調節中枢は視床下部。腋窩温より核心温（直腸・食道・鼓膜）が高い。甲状腺ホルモンは代謝亢進→体温上昇に関与。発熱はPGE2が視床下部に作用,,indexed_official,2020,180,
30-028,30,2022,28,共通,生理学,専門基礎科目,生理学,内分泌,endocrine-physiology,糖質コルチコイドの作用,,コルチゾール（糖質コルチコイド）：血糖上昇・蛋白質分解・免疫抑制・抗炎症作用・ストレス応答。アルドステロン（鉱質コルチコイド）はNa再吸収,,indexed_official,2020,180,
30-029,30,2022,29,共通,生理学,専門基礎科目,生理学,加齢変化,metabolic-physiology,加齢に伴い増加するもの,,加齢で増加：収縮期血圧・LDLコレステロール・空腹時血糖・前立腺肥大。加齢で低下：肺活量・最大酸素摂取量・基礎代謝率・腎糸球体ろ過量,,indexed_official,2020,180,
30-030,30,2022,30,共通,生理学,専門基礎科目,生理学,神経生理,neurophysiology,脳波の種類と状態,,α波（8〜13Hz・安静閉眼時）・β波（14Hz以上・覚醒・注意時）・θ波（浅睡眠・眠気）・δ波（深睡眠）。てんかんでは棘波・徐波複合,,indexed_official,2020,180,
30-031,30,2022,31,共通,生理学,専門基礎科目,生理学,筋生理,metabolic-physiology,筋収縮でエネルギーを必要とする過程,,筋弛緩時（ミオシン頭部がアクチンから離れる過程）にATPが必要。ATPの加水分解エネルギーがパワーストローク（収縮力発生）を引き起こす,,indexed_official,2020,180,
30-032,30,2022,32,共通,生理学,専門基礎科目,生理学,感覚生理,neurophysiology,近くを見るときの眼の変化,,近見反応：水晶体厚み増す（毛様体筋収縮・チン小帯弛緩）・瞳孔縮小（縮瞳）・輻輳（両眼球内転）の三徴。遠見では毛様体筋弛緩・瞳孔散大,,indexed_official,2020,180,
30-033,30,2022,33,共通,病理学,専門基礎科目,病理学,遺伝性疾患,pathology,遺伝性疾患の遺伝形式,,常染色体優性：ハンチントン病・家族性大腸腺腫症。常染色体劣性：フェニルケトン尿症・嚢胞性線維症。X連鎖劣性：血友病A・デュシェンヌ型筋ジストロフィー,,indexed_official,2020,180,
30-034,30,2022,34,共通,病理学,専門基礎科目,病理学,ウイルス学,infectious-disease,DNAウイルスの種類,,DNAウイルス：ヘルペスウイルス・B型肝炎ウイルス・アデノウイルス・ヒトパピローマウイルス・天然痘ウイルス。RNAウイルス：インフルエンザ・HIV・HCV・麻疹・風疹,,indexed_official,2020,180,
30-035,30,2022,35,共通,病理学,専門基礎科目,病理学,循環障害,pathology,急性心筋梗塞時の肺の変化,,左冠動脈閉塞→左心機能低下→肺静脈圧上昇→肺うっ血・肺水腫（アルベオール内液貯留）。右心不全では下肢浮腫・肝うっ血が起こる,,indexed_official,2020,180,
30-036,30,2022,36,共通,病理学,専門基礎科目,病理学,炎症の分類,pathology,フィブリン滲出が主体の炎症,,フィブリン（フィブリノゲン）滲出が特徴的な炎症は線維素性炎（偽膜性炎・クループ性炎含む）。化膿性炎は好中球主体。肉芽腫性炎は類上皮細胞・巨細胞,,indexed_official,2020,180,
30-037,30,2022,37,共通,臨床医学総論,専門基礎科目,臨床医学総論,免疫学,immunology,抗原提示細胞の種類,,抗原提示細胞（APC）：樹状細胞・マクロファージ・B細胞。MHCクラスⅡ分子でCD4陽性Tヘルパー細胞に抗原提示する。好中球・NK細胞は抗原提示しない,,indexed_official,2020,180,
30-038,30,2022,38,共通,病理学,専門基礎科目,病理学,腫瘍,pathology,癌と前癌病変の対応,,前癌病変と対応するがん：子宮頸部異形成→子宮頸がん。大腸腺腫（ポリープ）→大腸がん。バレット食道→食道腺がん。肝硬変→肝細胞がん,,indexed_official,2020,180,
30-039,30,2022,39,共通,リハビリテーション医学,専門基礎科目,リハビリテーション医学,脳性麻痺,rehabilitation,はさみ脚歩行（剪刀歩行）を呈する脳性麻痺の型,,はさみ脚歩行は両股関節内転・内旋強直による歩行障害。痙直型（両麻痺・四肢麻痺）に多い。アテトーゼ型はくねり様不随意運動を伴う,,indexed_official,2020,180,
30-040,30,2022,40,共通,解剖学,専門基礎科目,解剖学,神経系,nervous-system,対光反射の遠心路,,対光反射の遠心路：動眼神経（副交感線維）→毛様体神経節→短毛様体神経→瞳孔括約筋（縮瞳）。求心路は視神経→視蓋前野（中脳）,,indexed_official,2020,180,
