id,examRound,year,questionNumber,session,subject,officialLarge,officialMedium,officialSmall,normalizedTheme,subTheme,importance,studyPoint,sourceUrl,sourceReliability,blueprintVersion,questionCountMode,memo
29-001,29,2021,1,共通,医療概論,専門基礎科目,医療概論,国民医療費,health-policy,国民医療費の内容,,国民医療費に含まれるもの：保険診療の自己負担・公費負担・保険給付。含まれないもの：正常分娩・健康診断・差額ベッド代・予防接種,,indexed_official,2020,180,
29-002,29,2021,2,共通,医療概論,専門基礎科目,医療概論,患者行動理論,medical-ethics,患者行動・病気行動の理論,,病気行動（イルネス・ビヘイビア）の定義と段階。パーソンズの患者役割論（権利と義務）。サックマンの病気行動5段階を整理する,,indexed_official,2020,180,
29-003,29,2021,3,共通,医療概論,専門基礎科目,医療概論,医療計画,health-policy,医療計画の内容と5疾病5事業,,5疾病（がん・脳卒中・急性心筋梗塞・糖尿病・精神疾患）5事業（救急・災害・へき地・周産期・小児）。2次医療圏ごとに策定,,indexed_official,2020,180,
29-004,29,2021,4,共通,医療概論,専門基礎科目,医療概論,介護保険制度,social-security,介護保険の保険者と被保険者,,介護保険の保険者は市町村・特別区。第1号被保険者（65歳以上）・第2号被保険者（40〜64歳の医療保険加入者）の違いを整理する,,indexed_official,2020,180,
29-005,29,2021,5,共通,衛生学・公衆衛生学,専門基礎科目,衛生学・公衆衛生学,食中毒統計,health-policy,食中毒の原因別統計,,食中毒発生件数が最多はカンピロバクター（鶏肉・生食が主因）。患者数最多はノロウイルス。死亡は腸管出血性大腸菌O157,,indexed_official,2020,180,
29-006,29,2021,6,共通,衛生学・公衆衛生学,専門基礎科目,衛生学・公衆衛生学,消毒・滅菌,health-policy,消毒・滅菌の方法と対象,,滅菌（全微生物死滅）と消毒（病原菌のみ死滅）の区別。高圧蒸気滅菌（オートクレーブ）・乾熱滅菌・EOG滅菌・放射線滅菌の適応を整理,,indexed_official,2020,180,
29-007,29,2021,7,共通,衛生学・公衆衛生学,専門基礎科目,衛生学・公衆衛生学,保健統計調査,health-policy,国勢調査・人口動態統計等の調査種別,,人口静態統計（国勢調査：5年ごと）と人口動態統計（出生・死亡・婚姻・離婚・死産：毎年）の違い。患者調査は医療機関を対象,,indexed_official,2020,180,
29-008,29,2021,8,共通,衛生学・公衆衛生学,専門基礎科目,衛生学・公衆衛生学,放射線衛生,health-policy,放射線の種類と特性,,α線（遮蔽容易・内部被曝危険）・β線（プラスチック遮蔽）・γ線・X線（鉛遮蔽）・中性子線の特性。実効線量の単位はシーベルト（Sv）,,indexed_official,2020,180,
29-009,29,2021,9,共通,衛生学・公衆衛生学,専門基礎科目,衛生学・公衆衛生学,母子保健統計,health-policy,乳児死亡率・周産期死亡率の定義,,乳児死亡率＝出生1000対1年未満死亡数。周産期死亡率＝出産1000対（妊娠22週以後の死産＋生後7日未満の早期新生児死亡）の合計,,indexed_official,2020,180,
29-010,29,2021,10,共通,衛生学・公衆衛生学,専門基礎科目,衛生学・公衆衛生学,感染予防策,infectious-disease,感染経路別予防策の種類,,空気感染予防策（N95マスク・陰圧個室）：結核・水痘・麻疹。飛沫感染予防策（サージカルマスク）：インフルエンザ・百日咳。接触感染予防策：ノロウイルス,,indexed_official,2020,180,
29-011,29,2021,11,共通,関係法規,専門基礎科目,関係法規,あはき師名簿,hari-kyu-law,あはき師名簿と登録消除の規定,,あはき師名簿の登録消除事由：死亡・失踪宣告・免許取消処分。業務停止は消除されない。名簿は厚生労働省が管理,,indexed_official,2020,180,
29-012,29,2021,12,共通,関係法規,専門基礎科目,関係法規,施術所設備基準,hari-kyu-law,あはき施術所の構造設備基準,,施術所の設備基準：施術室6.6㎡以上・待合室3.3㎡以上・消毒設備（流水・石けん・消毒液）・十分な採光・換気。照明設備の明るさ規定,,indexed_official,2020,180,
29-013,29,2021,13,共通,関係法規,専門基礎科目,関係法規,あはき法罰則,hari-kyu-law,あはき法の罰則規定と量刑,,最も重い罰則：無免許業務（1年以下懲役または50万円以下罰金）。次いで不正広告（30万円以下罰金）。虚偽報告・業務停止違反の量刑を整理,,indexed_official,2020,180,
29-014,29,2021,14,共通,関係法規,専門基礎科目,関係法規,保健所,health-policy,保健所の設置根拠と業務,,保健所は地域保健法に基づき都道府県・政令指定都市・中核市等が設置。結核・精神保健・感染症・食品衛生を担う。市町村保健センターは身近な保健サービス,,indexed_official,2020,180,
29-015,29,2021,15,共通,解剖学,専門基礎科目,解剖学,上肢の骨格,musculoskeletal-system,上肢帯の骨と関節の特徴,,肩甲骨の突起（烏口突起・肩峰・関節下結節）。鎖骨の形状とS字湾曲。上腕骨の大結節・小結節・結節間溝（上腕二頭筋長頭腱通過）の位置,,indexed_official,2020,180,
29-016,29,2021,16,共通,解剖学,専門基礎科目,解剖学,下肢の筋神経支配,musculoskeletal-system,下肢筋の神経支配,,大腿筋膜張筋・中殿筋は上殿神経支配。大殿筋は下殿神経。内転筋群は閉鎖神経。大腿四頭筋は大腿神経。腓腹筋・ヒラメ筋は脛骨神経,,indexed_official,2020,180,
29-017,29,2021,17,共通,解剖学,専門基礎科目,解剖学,頭頸部の筋,musculoskeletal-system,頭頸部の筋と神経支配,,胸鎖乳突筋は副神経（第11脳神経）支配。僧帽筋も副神経。咬筋・側頭筋は三叉神経（下顎神経）支配。舌骨上筋群・舌骨下筋群の支配神経,,indexed_official,2020,180,
