id,examRound,year,questionNumber,session,subject,officialLarge,officialMedium,officialSmall,normalizedTheme,subTheme,importance,studyPoint,sourceUrl,sourceReliability,blueprintVersion,questionCountMode,memo
33-001,33,2025,1,共通,医療概論,専門基礎科目,医療概論,医の倫理,medical-ethics,医学研究倫理に関する国際宣言,,ヘルシンキ宣言＝医学研究倫理。ジュネーブ宣言＝医師の誓い。リスボン宣言＝患者の権利。アルマ・アタ宣言＝プライマリヘルスケア,,indexed_official,2020,180,
33-002,33,2025,2,共通,医療概論,専門基礎科目,医療概論,医療制度,health-policy,国民医療費の範囲（含まれる費用と含まれない費用）,,国民医療費に含まれない＝予防接種・健康診断・正常分娩・差額ベッド代。帝王切開（医療行為）は含まれる,,indexed_official,2020,180,
33-003,33,2025,3,共通,医療概論,専門基礎科目,医療概論,社会保障制度,social-security,公費医療の対象となる法律と制度の分類,,公費医療＝生保医療扶助・母子保健養育医療・精神保健措置入院等。労働者災害補償保険は公費医療でなく労働保険,,indexed_official,2020,180,
33-004,33,2025,4,共通,医療概論,専門基礎科目,医療概論,医の倫理,medical-ethics,パターナリズムと患者の自己決定権・インフォームドコンセント,,パターナリズム＝医療者が患者に代わって意思決定する父権的態度。自己決定権・インフォームドコンセントと対立する概念,,indexed_official,2020,180,
33-005,33,2025,5,共通,衛生学・公衆衛生学,専門基礎科目,衛生学・公衆衛生学,疾病予防,epidemiology,ハイリスクアプローチとポピュレーションアプローチの違い,,ハイリスク＝高リスク者への個別介入（禁煙指導・運動指導等）。ポピュレーション＝集団全体への施策（ウォーキング大会等）,,indexed_official,2020,180,
33-006,33,2025,6,共通,衛生学・公衆衛生学,専門基礎科目,衛生学・公衆衛生学,学校保健,school-health,学校管理下における死亡原因の統計（突然死が最多）,,学校管理下の死亡原因は突然死（心臓疾患由来）が最多。次いで頭部外傷・溺死等の順,,indexed_official,2020,180,
33-007,33,2025,7,共通,衛生学・公衆衛生学,専門基礎科目,衛生学・公衆衛生学,感染症対策,infectious-disease-control,COVID-19の感染症法上の分類変更（5類への移行）,,COVID-19は2023年5月より5類感染症に位置付け変更。それ以前は新型インフルエンザ等感染症に分類,,indexed_official,2020,180,
33-008,33,2025,8,共通,衛生学・公衆衛生学,専門基礎科目,衛生学・公衆衛生学,産業保健,epidemiology,産業衛生管理の3管理（作業管理・作業環境管理・健康管理）の区別,,作業管理＝労働者の作業方法・保護具使用の管理。作業環境管理＝換気・測定。健康管理＝健康診断。3管理は産業医が中心,,indexed_official,2020,180,
33-009,33,2025,9,共通,衛生学・公衆衛生学,専門基礎科目,衛生学・公衆衛生学,疫学・衛生統計,epidemiology,疫学指標の分母の違い（出生数・出産数・人口）,,乳児死亡率の分母は出生数。周産期死亡率の分母は出産数+出生数。妊産婦死亡率の分母は出産数,,indexed_official,2020,180,
33-010,33,2025,10,共通,衛生学・公衆衛生学,専門基礎科目,衛生学・公衆衛生学,感染予防・消毒,infectious-disease-control,手指消毒法の種類と特徴（スクラブ法・ラビング法等）,,スクラブ法＝洗浄剤+泡立て+流水による擦り洗い。ラビング法＝速乾性消毒剤の擦り込み（流水不要）,,indexed_official,2020,180,
33-011,33,2025,11,共通,関係法規,専門基礎科目,関係法規,あはき法,hari-kyu-law,免許取消処分後の免許証返納義務（5日以内）,,免許取消・業務停止処分を受けたら5日以内に免許証を厚生労働大臣に返納。名簿消除申請や再交付申請とは異なる,,indexed_official,2020,180,
33-012,33,2025,12,共通,関係法規,専門基礎科目,関係法規,あはき法,hari-kyu-law,施術所の構造設備基準（施術室・待合室・外気開放）の数値,,施術室外気開放の正しい比率は9分の1でない（誤答の核心）。施術室6.6㎡以上・待合室3.3㎡以上・消毒設備は正しい,,indexed_official,2020,180,
33-013,33,2025,13,共通,関係法規,専門基礎科目,関係法規,あはき法,hari-kyu-law,都道府県知事の業務指示に関して意見陳述できる主体,,衛生上の業務指示に関して都道府県知事に意見を述べられるのは医師の団体（あはき法24条）。はり師・きゅう師の団体ではない,,indexed_official,2020,180,
33-014,33,2025,14,共通,関係法規,専門基礎科目,関係法規,医療関係法規,medical-personnel-law,各医療関係法律が定義する事項の正しい対応,,薬機法＝管理医療機器を定義。医療法＝助産所を定義。介護保険法＝要介護認定区分。国民健保は国民健康保険法で規定,,indexed_official,2020,180,
33-015,33,2025,15,共通,解剖学,専門基礎科目,解剖学,組織学,histology,筋組織の種類と組織学的特徴（介在板・ギャップ結合・筋小胞体）,,心筋は介在板（ギャップ結合+デスモソーム）で連結し電気興奮が伝播。平滑筋に介在板はない。筋小胞体はCa²⁺を貯蔵,,indexed_official,2020,180,
33-016,33,2025,16,共通,解剖学,専門基礎科目,解剖学,骨学,musculoskeletal-system,下肢骨（大腿骨・脛骨・腓骨）の解剖学的ランドマーク,,小転子＝大腿骨頸基部内側下方。粗線は大腿骨体後面。内側顆は大腿骨遠位端内側。脛腓関節は近位・遠位の両方に存在,,indexed_official,2020,180,
33-017,33,2025,17,共通,解剖学,専門基礎科目,解剖学,骨学,musculoskeletal-system,頭蓋冠の縫合と泉門（新生児と成人の違い）,,新生児前頭骨は左右2分（正中縫合が残存）。大泉門＝前頭骨と頭頂骨の間（冠状縫合上）。ラムダ縫合＝後頭骨と頭頂骨の間,,indexed_official,2020,180,
33-018,33,2025,18,共通,解剖学,専門基礎科目,解剖学,生殖器系,reproductive-system,卵巣の固定・血管・受精部位の解剖,,卵巣提索で骨盤側壁に固定。受精は卵管膨大部（卵巣内ではない）。卵巣動脈は腹大動脈の直接分枝（内腸骨動脈ではない）,,indexed_official,2020,180,
33-019,33,2025,19,共通,解剖学,専門基礎科目,解剖学,筋学,musculoskeletal-system,頸部の筋と腕神経叢の走行（斜角筋隙）,,前中斜角筋間（斜角筋隙）を腕神経叢と鎖骨下動脈が通過。広頸筋は顔面神経支配。前斜角筋は第1肋骨に停止（鎖骨ではない）,,indexed_official,2020,180,
33-020,33,2025,20,共通,解剖学,専門基礎科目,解剖学,循環器系,circulatory-system,心臓の弁・刺激伝導系・位置関係,,洞房結節＝上大静脈開口部付近。僧帽弁＝左房室弁。肺動脈弁は大動脈弁の前方。心臓は前縦隔でなく中縦隔に位置,,indexed_official,2020,180,
33-021,33,2025,21,共通,解剖学,専門基礎科目,解剖学,内分泌系,endocrine-system,甲状腺の組織構造・位置・血管供給,,甲状腺は濾胞構造でコロイド（サイログロブリン）を貯蔵。上皮小体は後面。上甲状腺動脈は外頸動脈の枝（鎖骨下動脈ではない）,,indexed_official,2020,180,
33-022,33,2025,22,共通,解剖学,専門基礎科目,解剖学,神経系,nervous-system,大脳の線維連絡の分類（交連線維・投射線維・連合線維）,,交連線維＝左右大脳半球をつなぐ（脳梁・前交連・後交連）。内包・大脳脚は投射線維。連合線維＝同側半球内の皮質間連絡,,indexed_official,2020,180,
33-023,33,2025,23,共通,解剖学,専門基礎科目,解剖学,神経系,nervous-system,交感神経の経路・交通枝の種類・神経伝達物質,,白交通枝＝節前線維（有髄Bm線維）。灰白交通枝＝節後線維（無髄C線維）。節前細胞体は脊髄側角。節後はノルアドレナリンを分泌,,indexed_official,2020,180,
33-024,33,2025,24,共通,生理学,専門基礎科目,生理学,血液生理,cardiovascular-physiology,血漿タンパクの種類と機能（アルブミン・フィブリノゲン）,,アルブミン＝膠質浸透圧維持・栄養状態指標。フィブリノゲン＝凝固因子（凝固時フィブリンになる）。血漿タンパクは肝臓で合成,,indexed_official,2020,180,
